site,comparison,mean_x,mean_y,std_x,std_y,mean_diff,ci_90_low,ci_90_high,t_lower,t_upper,p_lower,p_upper,df,is_equivalent,nx,ny,delta,alpha,fresh_mean_bc,frozen_mean_bc
VAGINA,all_fractions,0.5737004479250202,0.5670095737282983,0.14211916834030924,0.13948171815810095,0.006690874196721874,-0.05488243012989564,0.06826417852333938,2.897200755148622,-2.5338181149500913,0.002666630884718413,0.007028179351656941,57,True,32,27,0.1,0.05,0.5670095737282983,0.5737004479250202
CERVIX,all_fractions,0.5607607736939872,0.606955363585402,0.06519636583376584,0.10906453074224051,-0.04619458989141478,-0.11543798854525764,0.02304880876242807,1.3162320243800678,-3.57633183387793,0.09872349220480581,0.0005660552609737114,32,False,8,26,0.1,0.05,0.606955363585402,0.5607607736939872
ENDOMETRIUM,all_fractions,0.5913191832350069,0.5731477252395032,0.15192990960270308,0.1354714336063199,0.01817145799550368,-0.04742305194168056,0.08376596793268792,3.015002402230508,-2.0877566791463606,0.0019551461813149817,0.020775954992146985,54,True,32,24,0.1,0.05,0.5731477252395032,0.5913191832350069
VAGINA+ENDOMETRIUM,all_fractions_pooled,0.583340864397268,0.5788895795500133,0.15201895272163862,0.13629728155715554,0.004451284847254655,-0.040771741833193945,0.049674311527703255,3.83051000049066,-3.504028786834442,0.00010524242364451375,0.0003289017744315812,113,True,64,51,0.1,0.05,0.5788895795500133,0.583340864397268
