site,mean_x,mean_y,std_x,std_y,mean_diff,ci_90_low,ci_90_high,t_lower,t_upper,p_lower,p_upper,df,is_equivalent,nx,ny,delta,alpha
VAGINA,1.1981195777136684,0.5801807423477797,0.5323738522300054,0.4407026218139741,0.6179388353658887,0.17325907807569785,1.0626185926560794,4.452182015850431,0.4696904205984579,0.0003260015360716517,0.6768214216713696,13,False,7,8,0.5,0.05
CERVIX,1.5334663575509893,1.8776737591709527,0.17428074655608913,0.03456262260349988,-0.34420740161996344,-0.5976196571108008,-0.09079514612912615,1.1946269308718322,-6.473432677182776,0.13865511746989068,0.00032259472439943794,6,False,6,2,0.5,0.05
ENDOMETRIUM,1.5701582937171241,1.1206255864672356,0.3737093772063211,0.5928613689614058,0.4495327072498885,-0.022566061033142792,0.9216314755329198,3.5847166769113388,-0.1905262921209529,0.0018748244709845263,0.42604098471015933,12,False,7,7,0.5,0.05
